n|title|price|originalPrice|size|brand|condition|listingUrl|imageUrl
401|GILDAN‎ Green "Lazy Gator" Graphic Tee Short Sleeve Size XL|19.0|50.0|XL|Gildan|ug|https://poshmark.com/listing/6a7c2e31fa6aceccb22c258d|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/12/6a7c2e31fa6aceccb22c258d/l_6a7c2e31fa6aceccb22c258e.jpeg
402|VINTAGE Y2K PATAGONIA Tribal Geo Big Lightweight‎ Synchilla Snap-T Fleece|73.0|400.0|XS|Patagonia|ug|https://poshmark.com/listing/6a7c1c42d95f1d342a434258|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/12/6a7c1c42d95f1d342a434258/l_6a7c1c42d95f1d342a434259.jpeg
403|WILD FOX Prima Pullover Ruffle Sweatshirt Hoodie and Pants Set Size‎ M|100.0|290.0|M|Wildfox|ug|https://poshmark.com/listing/6a7c1aebf61f81be691e774c|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/12/6a7c1aebf61f81be691e774c/l_6a7c1aebf61f81be691e774d.jpeg
404|LE SHOP White/Black Stripe Ruffle Cotton Blazer M‎|9.0|55.0|M|le shop|ug|https://poshmark.com/listing/6a7c197418db020b0b4a200c|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/11/6a7c197418db020b0b4a200c/l_6a7c197418db020b0b4a200d.jpeg
405|BEBE‎ Blue Heartbreaker Skinny Star Butt Size 24|61.0|119.0|24|bebe|nwt|https://poshmark.com/listing/6a7c1806a25540c41dab1ebd|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/11/6a7c1806a25540c41dab1ebe.jpeg
406|GYMSHARK Gray Mesh Sports Bra Adjustable Straps Size‎ XS|21.0|40.0|XS|Gymshark|ug|https://poshmark.com/listing/6a7c16cf43ca2b90161cc69c|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/11/6a7c16cf43ca2b90161cc69c/l_6a7c16cf43ca2b90161cc69d.jpeg
407|VICTORIA'S SECRET Vintage Blue/Black Lace Corset Size 32B‎|51.0|200.0|32B|Victoria's Secret|ug|https://poshmark.com/listing/6a7c15684dfc81d6b60f27e5|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/11/6a7c15684dfc81d6b60f27e5/l_6a7c15684dfc81d6b60f27e6.jpeg
408|PAPEROC Blue Tie-Dye Crop Top‎ Fold Sleeve Size S|11.0|55.0|S|PAPEROC|ug|https://poshmark.com/listing/6a7c1405d721de53886796e9|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/11/6a7c1405d721de53886796e9/l_6a7c1405d721de53886796ea.jpeg
409|JESSICA SIMPSON Orange Ruffle Maxi Dress Size S‎|45.0|158.0|S|Jessica Simpson|nwt|https://poshmark.com/listing/6a7c119bcf800593a4031db9|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/11/6a7c119bcf800593a4031dba.jpg
410|CHARLIE 1 HORSE Back at the Ranch Almost Famous "Cordova" Brown Hat 6‎ 3/4|399.0|1000.0|OS|Charlie 1 Horse|nwt|https://poshmark.com/listing/6a7c103a09df5144a0ec79f9|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/11/6a7c103a09df5144a0ec79f9/l_6a7c103a09df5144a0ec79fa.jpeg
