n|title|price|originalPrice|size|brand|condition|listingUrl|imageUrl
501|BETSEY JOHNSON Black/Pink Lace Midi Dress with Pink Bow‎ Size 2|350.0|400.0|2|Betsey Johnson|nwt|https://poshmark.com/listing/6a7567ad0c8b47fba3b84f31|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/06/6a7567ad0c8b47fba3b84f31/l_6a7567ad0c8b47fba3b84f32.jpg
502|NO BOUNDARIES‎ Multicolor Tropical Floral Butter-Soft Stretch Shorts Size XS|9.0|30.0|XS|No Boundaries|ug|https://poshmark.com/listing/6a7566621e28d3e63fd2d946|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/06/6a7566621e28d3e63fd2d946/l_6a7566621e28d3e63fd2d947.jpeg
503|GAME WINNER Brown Camo Fleece‎ Zip Jacket with Matching Gloves Size M Womens|50.0|105.0|M|Game Winner|uln|https://poshmark.com/listing/6a743517cb00f3b86b667061|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/06/6a743517cb00f3b86b667061/l_6a743517cb00f3b86b667062.jpg
504|PLAYBOY x PACSUN Light Blue Ultra High Waisted Vintage Denim Shorts‎ Size 23|36.0|70.0|23|PLAYBOY|ug|https://poshmark.com/listing/6a7433e4a2c5406a605a9508|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/06/6a7433e4a2c5406a605a9508/l_6a7433e4a2c5406a605a9509.jpeg
505|FOREVER 21 Black Lace Dress Sz M‎|10.0|28.0|MJ|Forever 21|ug|https://poshmark.com/listing/6a7432b0a81f93b93912d71c|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/06/6a7432b0a81f93b93912d71c/l_6a7432b0a81f93b93912d71d.jpeg
506|JUDITH MARCH Crochet Tassle Dress‎ Size S|37.0|89.0|S|Judith March|ug|https://poshmark.com/listing/6a74317636955ec4a7742d06|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/06/6a74317636955ec4a7742d06/l_6a74317636955ec4a7742d07.jpeg
507|Figs Special Edition Breast Cancer‎ Set XS|95.0|200.0|XS|Figs|ug|https://poshmark.com/listing/6a743041cb00f3335b64f947|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/05/6a743041cb00f3335b64f947/l_6a743041cb00f3335b64f948.jpeg
508|Vintage‎ ESCADA Textured Light Blue Wool-Blend Blazer Size 38|370.0|650.0|38|Escada|ug|https://poshmark.com/listing/6a742eee1a24d0da646d06da|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/05/6a742eee1a24d0da646d06da/l_6a742eee1a24d0da646d06db.jpg
509|OLIVIA‎ JAYMES/Forever 21 Transparent Strap Nude Block Heel Sandals Size 6|30.0||6|Olivia James|ug|https://poshmark.com/listing/6a742da6386937f5725f859d|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/05/6a742da6386937f5725f859d/l_6a742da6386937f5725f859e.jpg
510|GIANNI BINI Cream/Black "Janeen" Peep-Toe Fringe Mule‎ Chunky Slides Size 8.5|50.0|98.0|8.5|Gianni Bini|ug|https://poshmark.com/listing/6a742c6c4dfc81d3bd98a18e|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/05/6a742c6c4dfc81d3bd98a18e/l_6a742c6c4dfc81d3bd98a18f.jpeg
511|Vans Kids Bold Red‎ and White Sneakers|26.0|60.0|3.5B|Vans|ug|https://poshmark.com/listing/6a742b3d2536215d2a4a20be|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/05/6a742b3d2536215d2a4a20be/l_6a742b3d2536215d2a4a20bf.jpg
512|ROTHY'S *Retired* Marigold Yellow‎ "The Point Flats" Size 6.5|102.0|150.0|6.5|Rothy's|ug|https://poshmark.com/listing/6a742a090c8b4702f0438108|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/05/6a742a090c8b4702f0438108/l_6a742a090c8b4702f0438109.jpeg
513|FABLETICS "Kendall" Short S 4-6‎|23.0|40.0|S|Fabletics|nwt|https://poshmark.com/listing/6a7428ab9bca610e0b151239|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/05/6a7428ab9bca610e0b151239/l_6a7428ab9bca610e0b15123a.jpeg
