n|title|price|originalPrice|size|brand|condition|listingUrl|imageUrl
301|CHANEL Blue Denim CC Espadrilles 5.5‎|450.0|800.0|5.5|CHANEL|ug|https://poshmark.com/listing/6a82a174b9f4eae370dea463|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/16/6a82a174b9f4eae370dea463/l_6a82a174b9f4eae370dea464.jpeg
302|NEW YORK‎ & COMPANY 90s Orange/Brown Aztec A-line Dress Size XS|21.0|69.0|XS|New York & Company|ug|https://poshmark.com/listing/6a82a03b78e01d073b8bb44d|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/16/6a82a03b78e01d073b8bb44d/l_6a82a03b78e01d073b8bb44e.jpeg
303|VINTAGE "Hip‎ Hop" Ugly Christmas Sweater XS|32.0|100.0|XS|Vintage|ug|https://poshmark.com/listing/6a829e71b75e9f2c326684f5|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/16/6a829e71b75e9f2c326684f5/l_6a829e71b75e9f2c326684f6.jpeg
304|AMERICAN EAGLE Cream/Blue Romantic Corset Puff Sleeve Ruffle Crop Top‎ Size S|14.0|48.0|S|American Eagle Outfitters|ug|https://poshmark.com/listing/6a829d1c3869370c96d1c171|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/16/6a829d1c3869370c96d1c171/l_6a829d1c3869370c96d1c172.jpeg
305|TERI JON Vintage Coral Fringe Ruffle Blazer/Skirt 3-Piece Suit Set Size‎ 2|500.0|999.0|2|Teri Jon|ug|https://poshmark.com/listing/6a829bb6ead45f0ad527dee1|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/16/6a829bb6ead45f0ad527dee1/l_6a829bb6ead45f0ad527dee2.jpeg
306|DAVID'S BRIDAL‎ Gorgeous Beaded Wedding Dress|300.0|500.0|2|David's Bridal|ug|https://poshmark.com/listing/6a829a3530122a06dfb75d69|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/16/6a829a3530122a06dfb75d69/l_6a829a3530122a06dfb75d6a.jpeg
307|ARIZONA Blue Denim Cuff Shorts Size‎ 18 Jrs Plus|13.0|60.0|18|Arizona Jean Company|ug|https://poshmark.com/listing/6a8298d3a255400b6bfe0d4a|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/16/6a8298d3a255400b6bfe0d4a/l_6a8298d3a255400b6bfe0d4b.jpeg
308|ANTHROPOLOGIE Bhanuni By Jyoti Molly Babydoll Blouse‎ Size 2|61.0|200.0|2|Anthropologie|ug|https://poshmark.com/listing/6a829579f314c27ced0f1143|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/16/6a829579f314c27ced0f1143/l_6a829579f314c27ced0f1144.jpeg
309|‎BCX blouse|7.0|29.0|XS|BCX|ug|https://poshmark.com/listing/6a815dcf2fc9f8796558185c|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a815dcf2fc9f8796558185c/l_6a815dcf2fc9f8796558185d.jpeg
310|NF Kaftan Dress Womens Free Size Black White Red Boho Print Drawstring Waist NEW|27.0|119.0|M|Nf|nwt|https://poshmark.com/listing/6a815c8e8f9d3e368dfb4fa4|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a815c8e8f9d3e368dfb4fa4/l_6a815c8e8f9d3e368dfb4fa5.jpeg
311|MADDEN NYC Cutout Long-Sleeve Shirt Size XS‎|20.0|48.0|XS|Madden NYC|ug|https://poshmark.com/listing/6a815b59352b3a8ec3390cb7|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a815b59352b3a8ec3390cb7/l_6a815b59352b3a8ec3390cb8.jpg
312|REFORMATION "Julia" Distressed Light Wash 5-Button‎ Fly Jeans Size 22|53.0|198.0|SIZE 22 Waist|Reformation|ug|https://poshmark.com/listing/6a815a1909df5166d1dbfc8e|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a815a1909df5166d1dbfc8e/l_6a815a1909df5166d1dbfc8f.jpg
313|VINTAGE STUART ALLEN PETITES 1990s Floral Dress‎|53.0|150.0|S|Stuart Allen Petites|ug|https://poshmark.com/listing/6a8158d8721f580d2332d349|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a8158d8721f580d2332d349/l_6a8158d8721f580d2332d34a.jpeg
314|INTERMIX NWT White "Noelle" V-neck Bell-Sleeve Cotton/Silk Crochet Sweater S‎|102.0|300.0|S|INTERMIX|nwt|https://poshmark.com/listing/6a815792a6935825c704c635|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a815792a6935825c704c635/l_6a815792a6935825c704c636.jpeg
315|PATAGONIA‎ Diamond Quilted Jacket Boy's XL (14)|65.0|159.0|Child XL/14, Adult XXS|Patagonia|ug|https://poshmark.com/listing/6a8155d7cbbea5b00087425f|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a8155d7cbbea5b00087425f/l_6a8155d7cbbea5b000874260.jpeg
316|PAPERSOURCE Shoe Stationary "Jennifer Pina"‎|21.0|35.0|OS|Paper Source|nwt|https://poshmark.com/listing/6a81545764399b76f2bca9f0|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a81545764399b76f2bca9f0/l_6a81545764399b76f2bca9f1.jpeg
317|INC INTERNATIONAL CONCEPTS PETITE Vintage 00s Sequined 3/4 Sleeve Blouse Size 2P|67.0|150.0|2P|INC International Concepts|ug|https://poshmark.com/listing/6a8150d4765ce52b1b503e9f|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a8150d4765ce52b1b503e9f/l_6a8150d4765ce52b1b503ea0.jpg
318|FORVER 21 • FOREVER XXI‎ • career pants|13.0|25.0|XSJ|Forever 21|ug|https://poshmark.com/listing/6a814f37014ea32b57c04c6b|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a814f37014ea32b57c04c6b/l_6a814f37014ea32b57c04c6c.jpeg
319|LULU'S Luxurious Love Magenta Lace-Up Maxi‎ Dress Size XL|68.0||XL|Lulus|nwt|https://poshmark.com/listing/6a814dfe1e28d38762cac766|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a814dfe1e28d38762cac766/l_6a814dfe1e28d38762cac767.jpg
320|VICTORIA'S SECRET Vintage Hot Pink Satin Lace Chemise‎ Slip Babydoll Size S|162.0||S|Victoria's Secret|ug|https://poshmark.com/listing/6a814cbfbd7d00b95ab688d4|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a814cbfbd7d00b95ab688d4/l_6a814cbfbd7d00b95ab688d5.jpeg
321|MERONA top & MOSSIMO Bottom‎ Sz M|13.0|50.0|M|Mossimo Supply Co.|ug|https://poshmark.com/listing/6a814b6b8b21c8d904c04016|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a814b6b8b21c8d904c04016/l_6a814b6b8b21c8d904c04017.jpeg
322|SANDRO "Paco" Cardigan and Skirt Set Size‎ XS|432.0|660.0|XS|Sandro Paris|uln|https://poshmark.com/listing/6a814a3600a65a162f9ed513|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a814a3600a65a162f9ed513/l_6a814a3600a65a162f9ed514.jpg
323|FOREVER 21 Brown/Black Tartan Pleated‎ Mini Skirt Size Small|16.0|65.0|S|Forever 21|ug|https://poshmark.com/listing/6a8148fbfa43c1b7bc5bd624|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a8148fbfa43c1b7bc5bd624/l_6a8148fbfa43c1b7bc5bd625.jpg
324|APHALETE Grey Criss-Cross Ankle‎ Banded High-Waist Workout Leggings Size XS|23.0|72.0|XS|Alphalete|ug|https://poshmark.com/listing/6a8147c11b613a389c12f513|https://di2ponv0v5otw.cloudfront.net/posts/2026/08/15/6a8147c11b613a389c12f513/l_6a8147c11b613a389c12f514.jpeg
