n|title|price|originalPrice|size|brand|condition|listingUrl|imageUrl
601|NILI LOTAN Silk Navy Abstract Printed Cami…‎|71.0|298.0|XS|Nili Lotan|nwt|https://poshmark.com/listing/6a6c42ab60beaf3139772c52|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c42ab60beaf3139772c52/l_6a6c42ab60beaf3139772c53.jpeg
602|NEIMAN MARCUS Vtg Blue Floral Long Maxi Skirt with Sexy Left Leg Slit Size S‎|65.0|495.0|S|Neiman Marcus|ug|https://poshmark.com/listing/6a6c4152bbf9610852a9138c|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c4152bbf9610852a9138c/l_6a6c4152bbf9610852a9138d.jpeg
603|VICTORIA'S SECRET 32D Mermaid Bra‎|24.0||32E (DD)|Victoria's Secret|ug|https://poshmark.com/listing/6a6c3ff1dc9435a90eb190f0|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c3ff1dc9435a90eb190f0/l_6a6c3ff1dc9435a90eb190f1.jpeg
604|TOMMY HILFIGER Vintage 90s‎ Black Logo Tshirt Size XS|16.0|70.0|XS|Tommy Hilfiger|ug|https://poshmark.com/listing/6a6c3ebf36955e5ee6f060d8|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c3ebf36955e5ee6f060d8/l_6a6c3ebf36955e5ee6f060d9.jpeg
605|BANANA REPUBLIC‎ 100% Silk MauveDress Sz4|26.0|150.0|4|Banana Republic|ug|https://poshmark.com/listing/6a6c3d8efa43c193b2c244bc|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c3d8efa43c193b2c244bc/l_6a6c3d8efa43c193b2c244bd.jpeg
606|HEIRLOOM‎ COLLECTIBLES Vintage Green Embroidery Button Ugly Christmas Vest  L|65.0|250.0|L|heirloom collectibles|ug|https://poshmark.com/listing/6a6c3c5cb722f5eec6836630|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c3c5cb722f5eec6836630/l_6a6c3c5cb722f5eec6836631.jpeg
607|DC "Too Fast" Flash Short Sleeve Graphic Crew Neck Tee Shirt‎ Size XL|17.0|60.0|XL|Hybrid Apparel|ug|https://poshmark.com/listing/6a6c3b1df93b2a18ad240e3b|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c3b1df93b2a18ad240e3c.jpeg
608|Ali‎ Ro Women's Sleeveless Floral Scuba Dress 6|21.0|268.0|6|Ali Ro|ug|https://poshmark.com/listing/6a6c39d8875d6584b9b68250|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c39d8875d6584b9b68250/l_6a6c39d8875d6584b9b68251.jpeg
609|HANDMADE Vintage 1980s Grey/Green Suede Maxi Skirt Size S‎|102.0|200.0|XS|Handmade|ug|https://poshmark.com/listing/6a6c38a560beaf752373d578|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c38a560beaf752373d578/l_6a6c38a560beaf752373d579.jpeg
610|METRO WEAR Red Skirt Perforated‎ Pleated Skirt Size L|20.0|70.0|Sweater Small & Skirt Medium|Metrowear|nwt|https://poshmark.com/listing/6a6c3746a81f93ef344ee625|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c3746a81f93ef344ee625/l_6a6c3746a81f93ef344ee626.jpeg
611|NINE BRITTON Purple‎ Floral Bodysuit S|15.0|45.0|S|nine britton|ug|https://poshmark.com/listing/6a6c360e23cd1e584b9c7859|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c360e23cd1e584b9c7859/l_6a6c360e23cd1e584b9c785a.jpeg
612|VERO‎ MODA Camel Sophisticated Military Blazer Size XS|32.0|89.0|XS|Vero Moda|ug|https://poshmark.com/listing/6a6c34c31696a753eaa987ce|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c34c31696a753eaa987ce/l_6a6c34c31696a753eaa987cf.jpeg
613|VINTAGE Brass Blue/Green‎ Jeweled Dangle Earrings|45.0|999.0|OS||ug|https://poshmark.com/listing/6a6c3373c5c2ed4935505bb2|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/30/6a6c3373c5c2ed4935505bb3.jpg
