n|title|price|originalPrice|size|brand|condition|listingUrl|imageUrl
901|EXPRESS Colorblock Red and Purple Midi Dress ‎ Size XXS|150.0|500.0|XXS|Express|nwt|https://poshmark.com/listing/6a53326a981d480a97b11c66|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a53326a981d480a97b11c66/l_6a53326a981d480a97b11c67.jpg
902|NEW YORK‎ AND COMPANY Pink Lace Shawl-like Size XS|17.0|60.0|XS|New York & Company|nwt|https://poshmark.com/listing/6a5330f947842c349e29849e|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a5330f947842c349e29849e/l_6a5330f947842c349e29849f.jpeg
903|NO BOUNDARIES Floral‎ Crochet Dress Small|10.0|20.0|S|No Boundaries|ug|https://poshmark.com/listing/6a532fc4943ddba3872f05c1|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a532fc4943ddba3872f05c1/l_6a532fc4943ddba3872f05c2.jpeg
904|ALFRED DUNNER Vintage Floral Embrodered‎ Sweater L|40.0|70.0|L|Alfred Dunner|nwt|https://poshmark.com/listing/6a532e8e071d334cbc84044c|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a532e8e071d334cbc84044c/l_6a532e8e071d334cbc84044d.jpeg
905|PATAGONIA Women's Lightweight Synchilla Snap-T Fleece‎ Kuta Klash S|113.0|400.0|S|Patagonia|ug|https://poshmark.com/listing/6a532d597fc826d6e466055f|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a532d597fc826d6e466055f/l_6a532d597fc826d6e4660560.jpeg
906|TEDDI White/Blue/Red Vintage 80s‎ 90s Sailor Pocket Embellished Sweater Size M|41.0|99.0|M|Teddi|ug|https://poshmark.com/listing/6a532c24cc0a738ebc6d26f5|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a532c24cc0a738ebc6d26f5/l_6a532c24cc0a738ebc6d26f6.jpeg
907|ABERCROMBIE & FITCH Blue Embroidery Floral Distressed Raw Hem Jeans Size 00‎|24.0|78.0|00|Abercrombie & Fitch|ug|https://poshmark.com/listing/6a532ae7538beb2d79abdf25|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a532ae7538beb2d79abdf25/l_6a532ae7538beb2d79abdf26.jpeg
908|POSITANO Vintage‎ 90s Genuine Leather Suede Western Maxi Skirt Size 10|122.0|999.0|10|Vintage|ug|https://poshmark.com/listing/6a5329a8f3d6243c9442ead8|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a5329a8f3d6243c9442ead8/l_6a5329a8f3d6243c9442ead9.jpeg
909|AFRM "Zayne" Blouse in Color‎ Sienna Size XS|38.0||4||nwt|https://poshmark.com/listing/6a532870cf05773ef564a403|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a532870cf05773ef564a403/l_6a532870cf05773ef564a404.jpg
910|TCEC‎ White/Black Polkadot Mini Dress Size M|14.0|55.0|M|TCEC|ug|https://poshmark.com/listing/6a53273efbae953406760c41|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a53273efbae953406760c41/l_6a53273efbae953406760c42.jpeg
911|LISA BLUE CALL OF THE WHALE Y2K Purple Snake Serpent Print Halter Tie Bikini Top|23.0|65.0|B-cup with adjustable tie|Lisa Blue|ug|https://poshmark.com/listing/6a53260d948ffe7fc89fc6f1|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a53260d948ffe7fc89fc6f1/l_6a53260d948ffe7fc89fc6f2.jpeg
912|XHILARATION‎ Teal Lace Dress Sz Small|12.0|40.0|S|Xhilaration|ug|https://poshmark.com/listing/6a5324b85bb1ee49361672f6|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a5324b85bb1ee49361672f6/l_6a5324b85bb1ee49361672f7.jpeg
913|LULAROE "Key" Leggings Sz OS (One‎ Size)|15.0|40.0|One Size Fits Most|LuLaRoe|ug|https://poshmark.com/listing/6a53237c34e253b11d8fa28d|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a53237c34e253b11d8fa28d/l_6a53237c34e253b11d8fa28e.jpeg
914|ONE ONE‎ SIX Red Classy Romper Wrap Tie Small|29.0|70.0|S|One One Six|nwt|https://poshmark.com/listing/6a53223c64164afc0e061087|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a53223c64164afc0e061087/l_6a53223c64164afc0e061088.jpeg
915|BANANA REPUBLIC x FLIPUCCI Wool Color-block Sweater‎ S|72.0|180.0|S|Banana Republic|ug|https://poshmark.com/listing/6a531f5b64164a681104de3c|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/11/6a531f5b64164a681104de3c/l_6a531f5b64164a681104de3d.jpeg
916|CREACIONES‎ BARCELONA Black Leather Cropped Bomber Jacket XS|179.0|400.0|XS|Creaciones Barcelona|ug|https://poshmark.com/listing/6a51e3bdb591eda13ec2bd4a|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/10/6a51e3bdb591eda13ec2bd4a/l_6a51e3bdb591eda13ec2bd4b.jpeg
917|NWT Bigio Collection Women's Gray Long Sleeve Single-Breasted‎ Blazer Size 2|203.0|595.0|2|bigio|nwt|https://poshmark.com/listing/6a51e2807ddf56747ab00baa|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/10/6a51e2807ddf56747ab00baa/l_6a51e2807ddf56747ab00bab.jpg
918|FREE PEOPLE‎ "Bandana Bandit Buttondown" XS|72.0|128.0|XS|Free People|ug|https://poshmark.com/listing/6a51e14a6cb777e165b95585|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/10/6a51e14a6cb777e165b95585/l_6a51e14a6cb777e165b95586.jpeg
919|STAR WARS Grey/Gold Burnout Shirt Kids Size‎ XL (12-14)|13.0|40.0|XS|Star Wars|ug|https://poshmark.com/listing/6a51ddab25b2f239f81f0126|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/10/6a51ddab25b2f239f81f0126/l_6a51ddab25b2f239f81f0127.jpeg
920|TOPSHOP Navy Blue‎ Knit Dress 3/4 Sleeve|13.0|50.0|8|Topshop|nwt|https://poshmark.com/listing/6a51dc75ef1ef754ceb112ac|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/10/6a51dc75ef1ef754ceb112ac/l_6a51dc75ef1ef754ceb112ad.jpeg
921|Everlane The Modern Utility Jumpsuit Tan Khaki Long Sleeve Belted Twill Jumpsuit|50.0|110.0|4|Everlane|ug|https://poshmark.com/listing/6a51db37bc6e1cc23bd7ec0f|https://di2ponv0v5otw.cloudfront.net/posts/2026/07/10/6a51db37bc6e1cc23bd7ec0f/l_6a51db37bc6e1cc23bd7ec10.jpeg
